text,url
"Zee BusinessWill Bank Nifty breach 30,000 mark today? Anil Singhvi remains bullish, lays down growth trajectoryWill Bank Nifty touch the 30000 mark on Wednesday? Notably, Dow Jones hit this mark in yesterday's trading. How is it poised today?.25 Nov 2020",https://www.zeebiz.com/india/news-will-bank-nifty-breach-30000-mark-today-anil-singhvi-remains-bullish-lays-down-growth-trajectory-141814
"Zee Business |Apna Time Aayega! Mid Cap, Small Cap stocks ready for bull run, Anil Singhvi explains why stock market fren...The stock market indices have been creating records and even the broader market indices have been moving from strength-to-strength..25 Nov 2020",https://www.zeebiz.com/india/news-apna-time-aayega-mid-cap-small-cap-stocks-ready-for-bull-run-anil-singhvi-explains-why-stock-market-frenzy-141816
"Business StandardSensex tanks 997 pts from day's high, breaches 44K; Nifty ends at 12,858After scaling fresh record highs in the morning trade, the domestic equity market tumbled around 1.5 per cent on Wednesday as investors booked profit....25 Nov 2020",https://www.business-standard.com/article/markets/market-live-markets-sensex-nifty-bse-nse-sgx-nifty-tcs-dow-jones-120112500129_1.html
"mintMarkets on fire, indices close at record highs; banks, auto stocks soar | Stock Market NewsWelcome to the Mint live blog. Track this space for the latest stock market updates. 24 Nov 2020, 03:44:21 PM IST. Banks drive market rally; indices close....24 Nov 2020",https://www.livemint.com/market/stock-market-news/live-blog-sensex-nifty-live-today-24-11-2020-nifty-nse-bse-news-updates-11606185185962.html
"Business StandardMARKETS: Indices end at record closing peaks; Nifty settles above 13,000Continuing their gaining streak, the benchmark indices ended 1 per cent higher on Tuesday amid across-the-board buying..24 Nov 2020",https://www.business-standard.com/article/markets/market-live-markets-sensex-nifty-bse-nse-sgx-nifty-astrazeneca-120112400113_1.html
"NDTV ProfitPremium Valuations No Bar For Nifty 50 As Index Tops 13,000India's Nifty 50 surpassed the 13000-mark for the first time as investors looked past the gauge's premium valuation, betting on better business prospects as....24 Nov 2020",https://www.ndtvprofit.com/markets/premium-valuations-no-bar-for-nifty-50-as-index-tops-13000
"Business StandardNifty hits 13,000-mark, Sensex at record peak: Is it time to book profits?The dream run of the domestic equities reached a new pinnacle on Tuesday when the Nifty50 index surpassed the 13,000-mark for the first time ever..24 Nov 2020",https://www.business-standard.com/article/markets/nifty-hits-13-000-mark-sensex-at-record-peak-is-it-time-to-book-profits-120112400360_1.html
"CNBC TV18Nifty in 2020: Third worst calendar year drawdown in 25 years, still up 6% YTDThe year 2020, on a year-to-date basis, saw the third-worst peak-to-trough drawdown and yet is positive year-to-date, data site datawrapper reported..23 Nov 2020",https://www.cnbctv18.com/market/nifty-in-2020-third-worst-calendar-year-drawdown-in-25-years-still-up-6-ytd-7546681.htm
"mintSensex closes above 44,000, Nifty holds above 12,900; ONGC top gainer | Stock Market NewsWelcome to the Mint live blog. Track this space for the latest stock market updates. 23 Nov 2020, 03:26:21 PM IST. Top losers on BSE. View Full Image..23 Nov 2020",https://www.livemint.com/market/stock-market-news/sensex-nifty-live-today-23-11-2020-nifty-nse-bse-news-updates-11606099026115.html
"The Economic TimesTraders' Diary: Nifty may witness weakness if it fails to hold 12,750 levelFinancials lead the market rally as 21 of 30 Sensex stocks end the day in the green..20 Nov 2020",https://m.economictimes.com/sensex-nifty-live-today-2020-11-20/liveblog/79313866.cms
"mintSensex jumps 282 pts led by banks, financials; Nifty ends at 12,859; RIL slips | Stock Market NewsBenchmark indices ended with gains after a day of losses with Sensex clocking 282 points and Nifty rising 0.7%. RIL was the biggest loser,....20 Nov 2020",https://www.livemint.com/market/stock-market-news/sensex-nifty-live-today-20-11-2020-nifty-nse-bse-news-updates-11605839435628.html
"mintSensex sinks 580 points on weak global cues, Nifty ends at 12772; banks drag | Stock Market NewsWelcome to the Mint live blog. Track this space for the latest stock market updates. 19 Nov 2020, 03:52:04 PM IST. Sensex, Nifty end 1.3% lower on selling....19 Nov 2020",https://www.livemint.com/market/stock-market-news/sensex-nifty-live-today-19-11-2020-nifty-nse-bse-news-updates-11605753420299.html
"The Economic TimesTech View: Nifty50 forms a Shooting Star pattern, signals weakness aheadThe index formed a 'Shooting Star' candle on the daily chart. Analysts said the index was facing tough resistance in the 12,900-950 range and the formation of....19 Nov 2020",https://m.economictimes.com/markets/stocks/news/tech-view-nifty50-forms-a-shooting-star-pattern-signals-weakness-ahead/articleshow/79303979.cms
"mintBanks, auto cos lift indices to record high; Sensex ends at 44,180, Nifty 12,938 | Stock Market NewsIndian equity markets closed at record high for the third day in a row on Wednesday. M&M rose 11%, while Lakshmi Vilas Bank hit the 20% lower circuit as the....18 Nov 2020",https://www.livemint.com/market/stock-market-news/sensex-nifty-live-today-18-11-2020-nifty-nse-bse-news-updates-11605665895870.html
"MoneycontrolAfter The Bell: Profit booking at higher levels; here’s what investors should do on WednesdayThe Nifty is trading at the stiff resistance level of 12900/13000, the momentum in the market is uninterrupted and that's the reason the stock-specific....17 Nov 2020",https://www.moneycontrol.com/news/business/markets/after-the-bell-profit-booking-at-higher-levels-heres-what-investors-should-do-on-wednesday-6127761.html
